Adjektiv,Komparativ,Superlativ,Übersetzung,Beschreibung,Treffer Deutsch
änlich,änlicher,am änlichsten,parecido,-,1/2 11-02-24
angenehm,angenehmer,am angenehmsten,agradable,-,1/2 11-02-24
arm,ärmer,am ärmsten,pobre,dinero y lástima,1/2 11-02-24
blau,blauer,am blausten,azul,-,1/1 11-02-24
blond,blonder,am blondsten,rubio,-,2/2 11-02-24
braun,brauner,am braunsten,cafe,-,1/2 11-02-24
gefährlich,gefährlicher,am gefährlichsten,peligroso,-,1/2 11-02-24
gelb,gelber,am gelbsten,amarillo,-,1/1 11-02-24
gemütlich,gemütlicher,am gemütlichsten,acogedor,-,1/2 11-02-24
genau,genauer,am genauesten,exacto,-,1/2 11-02-24
gleich,gleicher,am gleichsten,igual,-,1/2 11-02-24
grau,grauer,am grausten,gris,-,1/2 11-02-24
konservativ,konservativer,am konservativsten,conservador,-,0/0 11-02-24
lang,länger,am längsten,largo,-,1/2 11-02-24
langweilig,langweiliger,am langweiligsten,aburrido,-,1/1 11-02-24
nervös,nervöser,am nervösesten,nervioso,-,1/1 11-02-24
offen,offener,am offensten,abierto,actitud abierta,3/5 11-02-24
geöffnet,geöffneter,am geöffnetsten,abierto,físicamente abierto,1/2 11-02-24
selten,seltener,am seltensten,raro,poco común,2/2 11-02-24
komisch,komischer,am komischsten,raro,extraño o cómico,1/1 11-02-24
sportlich,sportlicher,am sportlichsten,deportivo,-,2/4 11-02-24
sympathisch,sympathischer,am sympathischsten,simpático,-,0/0 11-02-24
nett,netter,am nettesten,simpático,-,1/3 11-02-24
traurig,trauriger,am traurigsten,triste,-,0/0 11-02-24
treu,treuer,am treuesten,fiel,-,3/4 11-02-24
verrückt,verrückter,am verrücktesten,loco,-,3/6 11-02-24
dünn,dünner,am dünnsten,delgado,connotación negativa,0/0 11-02-24
schlank,schlanker,am schlanksten,delgado,connotación positiva,1/3 11-02-24
ehrlich,ehrlicher,am ehrlichsten,sincero,-,2/4 11-02-24
elegant,eleganter,am elegantesten,elegante,-,2/2 11-02-24
freundlich,freundlicher,am freundlichsten,amable,-,1/2 11-02-24
interessant,interessanter,am interessantesten,interesante,-,0/0 11-02-24
jung,jünger,am jüngsten,joven,-,1/3 11-02-24
klug,klüger,am klügsten,inteligente,-,1/2 11-02-24
intelligent,intelligenter,am intelligentesten,inteligente,-,1/2 11-02-24
pünktlich,pünktlicher,am pünktlichsten,puntual,-,1/2 11-02-24
ruhig,ruhiger,am ruhigsten,tranquilo,-,1/2 11-02-24
still,stiller,am stillsten,tranquilo,-,0/0 11-02-24
rund,runder,am rundesten,redondo,-,1/1 11-02-24
voll,voller,am vollsten,lleno,-,3/3 11-02-24
weich,weicher,am weichsten,suave,-,1/2 11-02-24
wunderbar,wunderbarer,am wunderbarsten,maravilloso,-,1/2 11-02-24
herrlich,herrlicher,am herrlichsten,maravilloso,-,2/4 11-02-24
dumm,dümmer,am dümmsten,tonto,-,1/1 11-02-24
doof,doofer,am doofsten,tonto,-,1/1 11-02-24
attraktiv,attraktiver,am attraktivsten,atractivo,-,1/2 11-02-24
fleißig,fleißiger,am fleißigsten,trabajador,-,1/2 11-02-24
faul,fauler,am faulsten,vago,-,0/0 11-02-24
eigen,eigener,am eigensten,propio,-,1/2 11-02-24
geliebt,geliebter,am geliebtesten,amado,-,2/3 11-02-24
zuverlässig,zuverlässiger,am zuverlässigsten,confiable,-,2/4 11-02-24
hübsch,hübscher,am hübschesten,bonito,apariencia,2/3 11-02-24
schön,schöner,am schönsten,bonito,general,3/4 11-02-24
wütend,wütender,am wütendsten,furioso,-,3/6 11-02-24
zornig,zorniger,am zornigsten,furioso,-,1/2 11-02-24
fest,fester,am festesten,firme,-,1/2 11-02-24
bequem,bequemer,am bequemsten,cómodo,-,2/3 11-02-24
unbequem,unbequemer,am unbequemsten,incomodo,-,2/5 11-02-24
schmutzig,schmutziger,am schmutzigsten,sucio,-,1/2 11-02-24
frisch,frischer,am frischesten,fresco,-,1/1 11-02-24
kühl,kühler,am kühlsten,fresco,frío moderado,0/0 11-02-24
weiß,weißer,am weißesten,blanco,-,2/2 11-02-24
grün,grüner,am grünsten,verde,-,0/0 11-02-24
schnell,schneller,am schnellsten,rápido,-,1/1 11-02-24
langsam,langsamer,am langsamsten,lento,-,1/2 11-02-24
schwach,schwächer,am schwächsten,débil,-,2/4 11-02-24
heiß,heißer,am heißesten,caliente,-,1/2 11-02-24
neu,neuer,am neuesten,nuevo,-,1/1 11-02-24
kalt,kälter,am kältesten,frío,-,1/1 11-02-24
spitz,spitzer,am spitzesten,puntiagudo,-,1/2 11-02-24
lustig,lustiger,am lustigsten,divertido,-,0/0 11-02-24
teuer,teurer,am teuersten,caro,-,1/1 11-02-24
billig,billiger,am billigsten,barato,-,0/0 11-02-24
dunkel,dunkler,am dunkelsten,oscuro,-,2/4 11-02-24
hell,heller,am hellsten,claro,brillante,2/4 11-02-24
deutlich,deutlicher,am deutlichsten,claro,comprensible,2/3 11-02-24
eindeutig,eindeutiger,am eindeutigsten,claro,comprensible,1/2 11-02-24
gut,besser,am besten,bueno,-,0/0 11-02-24
gern,lieber,am liebsten,con gusto,-,2/2 11-02-24
schlecht,schlechter,am schlechtesten,malo,-,2/3 11-02-24
viel,mehr,am meisten,mucho,-,1/1 11-02-24
wenig,weniger,am wenigsten,poco,-,2/3 11-02-24
allmählich,allmählicher,am allmählichsten,poco a poco,-,1/2 11-02-24
hoch,höher,am höchsten,alto,-,1/1 11-02-24
tief,tiefer,am tiefsten,profundo,-,1/2 11-02-24
nah,näher,am nächsten,cerca,-,1/2 11-02-24
weit,weiter,am weitesten,lejos,-,0/0 11-02-24
groß,größer,am größten,grande,-,0/0 11-02-24
klein,kleiner,am kleinsten,pequeño,-,2/2 11-02-24
laut,lauter,am lautesten,ruidoso,-,1/2 11-02-24
stark,stärker,am stärksten,fuerte,-,2/3 11-02-24
gesund,gesünder,am gesündesten,sano,-,1/2 11-02-24
krank,kränker,am kränksten,enfermo,-,1/2 11-02-24
blass,blasser,am blassesten,pálido,-,0/0 11-02-24
glatt,glatter,am glattesten,liso,-,1/2 11-02-24
eben,ebener,am ebensten,liso,plano,2/4 11-02-24
rau,rauer,am rauhesten,áspero,-,0/0 11-02-24
nass,nasser,am nassesten,mojado,-,1/2 11-02-24
trocken,trockener,am trockensten,seco,-,3/5 11-02-24
schmal,schmaler,am schmalsten,estrecho,-,1/2 11-02-24
eng,enger,am engsten,ajustado/limitado,-,0/0 11-02-24
breit,breiter,am breitesten,ancho,-,1/2 11-02-24
fromm,frömmer,am frömmsten,devoto,-,1/2 11-02-24
rot,röter,am rötesten,rojo,-,0/0 11-02-24
krumm,krummer,am krumsten,torcido,-,1/2 11-02-24
alt,älter,am ältesten,viejo,-,2/2 11-02-24
leicht,leichter,am leichtesten,fácil/ligero,-,1/1 11-02-24
schwer,schwerer,am schwersten,difícil/pesado,-,1/2 11-02-24
schwierig,schwieriger,am schwierigsten,difícil,-,1/1 11-02-24
niedrig,niedriger,am niedrigsten,bajo,-,0/0 11-02-24
dick,dicker,am dicksten,gordo/grueso,-,2/5 11-02-24
schwarz,schwärzer,am schwärzesten,negro,-,0/0 11-02-24
hässlich,hässlicher,am hässlichsten,feo,-,2/4 11-02-24
anstrengend,anstrengender,am anstrengendsten,exigente,-,1/2 11-02-24
dringend,dringender,am dringendsten,urgente,-,1/2 11-02-24
sauber,sauberer,am saubersten,limpio,-,1/2 11-02-24
arbeitslos,arbeitsloser,am arbeitslosesten,desempleado,-,2/4 11-02-24
geehert,geehrter,am geehrtesten,honrado,-,2/7 11-02-24
selbständig,selbständiger,am selbständigsten,independiente,-,1/2 11-02-24
ausgezeichnet,ausgezeichneter,am ausgezeichnetsten,excelente,-,2/4 11-02-24
bekannt,bekannter,am bekanntesten,famoso,-,0/0 11-02-24
praktisch,praktischer,am praktischsten,práctico,-,0/0 11-02-24
schlimm,schlimmer,am schlimmsten,grave,-,1/4 11-02-24
toll,toller,am tollsten,genial,-,2/3 11-02-24
wichtig,wichtiger,am wichtigsten,importante,-,1/2 11-02-24
europäisch,europäischer,am europäischsten,europeo,-,2/2 11-02-24
fantastisch,fantastischer,am fantastischsten,fantástico,-,1/1 11-02-24
fein,feiner,am feinsten,fino,-,1/2 11-02-24
feucht,feuchter,am feuchtesten,húmedo,-,1/2 11-02-24
gewöhnlich,gewöhnlicher,am gewöhnlichsten,ordinario,-,1/3 11-02-24
günstig,günstiger,am günstigsten,económico,-,1/2 11-02-24
preiswert,preiswerter,am preiswertesten,económico,-,2/2 11-02-24
wirtschaftlich,wirtschaftlicher,am wirtschaftlichsten,económico,-,1/1 11-02-24
herzlich,herzlicher,am herzlichsten,cordial,-,1/2 11-02-24
möglich,möglicher,am möglichsten,posible,-,1/2 11-02-24
öffentlich,öffentlicher,am öffentlichsten,público,-,2/4 11-02-24
regelmäßig,regelmäßiger,am regelmäßigsten,regular,-,1/1 11-02-24
reich,reicher,am reichsten,rico,-,1/1 11-02-24
tot,toter,am totesten,muerto,-,1/2 11-02-24
verboten,verbotener,am verbotensten,prohibido,-,0/0 11-02-24
automatisch,automatischer,am automatischsten,automático,-,1/1 11-02-24
direkt,direkter,am direktesten,directo,-,2/4 11-02-24
durchschnittlich,durchschnittlicher,am durchschnittlichsten,promedio,-,2/4 11-02-24
einfach,einfacher,am einfachsten,sencillo,-,1/2 11-02-24
früh,früher,am frühesten,temprano,-,1/3 11-02-24
kaputt,kaputter,am kaputtesten,roto,-,1/2 11-02-24
kompliziert,komplizierter,am kompliziertesten,complicado,-,1/2 11-02-24
normal,normaler,am normalsten,normal,-,0/0 11-02-24
technish,technischer,am technischsten,técnico,-,1/2 11-02-24
verschieden,verschiedener,am verschiedensten,diferente,-,1/2 11-02-24
unterschiedlich,unterschiedlicher,am unterschiedlichsten,diferente,-,1/1 11-02-24
wahr,wahrer,am wahrsten,verdadero,-,1/2 11-02-24
aktiv,aktiver,am aktivsten,activo,-,2/4 11-02-24
berufstätig,berufstätiger,am berufstätigsten,activo laboralmente,-,0/0 11-02-24
allein,alleiner,am alleinsten,solo,-,1/2 11-02-24
ärgerlich,ärgerlicher,am ärgerlichsten,molesto,-,1/2 11-02-24
beruflich,beruflicher,am beruflichsten,laboral,-,1/2 11-02-24
besetzt,besetzter,am besetztesten,ocupado,-,4/8 11-02-24
dauernd,dauernder,am dauerndsten,permanente,-,0/0 11-02-24
frei,freier,am freiesten,libre,-,1/1 11-02-24
früher,früherer,am frühersten,anterior,de antes,2/4 11-02-24
vorig,voriger,am vorigsten,anterior,anterior inmediato,2/5 11-02-24
glücklich,glücklicher,am glücklichsten,feliz,-,1/2 11-02-24
höflich,höflicher,am höflichsten,cortés,-,1/3 11-02-24
kritisch,kritischer,am kritischsten,crítico,-,1/1 11-02-24
ledig,lediger,am ledigsten,soltero,-,1/1 11-02-24
neugierig,neugieriger,am neugierigsten,curioso,-,0/0 11-02-24
spät,später,am spätesten,tarde,-,1/1 11-02-24
überzeugt,überzeugter,am überzeugtsten,convencido,-,1/3 11-02-24
unbedingt,unbedingter,am unbedingtsten,indispensable,-,1/2 11-02-24
unfreundlich,unfreundlicher,am unfreundlichsten,descortés,-,2/4 11-02-24
unmöglich,unmöglicher,am unmöglichsten,imposible,-,1/3 11-02-24
verheiratet,verheirateter,am verheiratetsten,casado,-,1/2 11-02-24
deutsch,deutscher,am deutschesten,alemán,-,2/2 11-02-24
erste,erster,am ersten,primero,-,1/2 11-02-24
flach,flacher,am flachsten,plano,-,0/0 11-02-24
folgend,folgender,am folgendsten,siguiente,-,2/4 11-02-24
gleichzeitig,gleichzeitiger,am gleichzeitigsten,simultáneo,-,1/2 11-02-24
ideal,idealer,am idealsten,ideal,-,2/3 11-02-24
persönlich,persönlicher,am persönlichsten,personal,-,2/3 11-02-24
plötzlich,plötzlicher,am plötzlichsten,repentino,-,1/1 11-02-24
sonnig,sonniger,am sonnigsten,soleado,-,3/4 11-02-24
täglich,täglicher,am täglichsten,diario,-,2/3 11-02-24
typisch,typischer,am typischsten,típico,-,2/2 11-02-24
warm,warmer,am wärmsten,cálido,-,1/2 11-02-24
zweite,zweiter,am zweitesten,segundo,-,1/1 11-02-24
amerikanisch,amerikanischer,am amerikanischsten,americano,-,1/2 11-02-24
durstig,durstiger,am durstigsten,sediento,-,1/2 11-02-24
notwendig,notwendiger,am notwendigsten,necesario,-,0/0 11-02-24
sozial,sozialer,am sozialsten,social,-,3/4 11-02-24
ausländisch,ausländischer,am ausländischsten,extranjero,-,1/2 11-02-24
dankbar,dankbarer,am dankbarsten,agradecido,-,1/2 11-02-24
demokratisch,demokratischer,am demokratischsten,democrático,-,1/1 11-02-24
enttäuscht,enttäuschter,am enttäuschtesten,decepcionado,-,1/2 11-02-24
