Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
r,Abfalleimer,-,-,-,Bote de basura,-,0/0 11-02-24,0/0 11-02-24
-,Arzt,Ärztin,⸚e,-nen,Doctor(a),-,0/0 11-02-24,1/1 11-02-24
r,Aufzug,-,⸚e,-,Elevador,-,1/2 11-02-24,1/2 11-02-24
-,Ausländer,Ausländerin,-,-nen,Extranjero(a),persona,1/1 14-02-25,1/3 13-02-25
s,Auto,-,-s,-,Coche,-,0/0 11-02-24,0/0 11-02-24
-,Freund,Freundin,-e,-nen,Amigo(a),-,1/1 11-02-24,0/0 11-02-24
s,Baby,-,-s,-,Bebé,-,0/0 11-02-24,1/1 11-02-24
e,Badewanne,-,-n,-,Bañera,-,0/0 11-02-24,2/4 14-02-25
s,Badezimmer,-,-,-,Baño,-,0/0 11-02-24,2/2 13-02-25
s,Bad,-,⸚er,-,Baño,-,0/0 11-02-24,1/2 11-02-24
s,Klo,-,-s,-,Inodoro,-,0/0 11-02-24,1/2 14-02-25
-,Mieter,Mieterin,-,-nen,Inquilino(a),-,1/2 14-02-25,0/0 11-02-24
r,Balkon,-,-e,-,Balcón,-,1/1 14-02-25,0/0 11-02-24
e,Batterie,-,-n,-,Batería,-,0/0 11-02-24,0/0 11-02-24
s,Becken,-,-,-,Lavabo,hoyo,0/0 11-02-24,0/0 11-02-24
r,Beruf,-,-e,-,Profesión,-,0/0 11-02-24,1/2 11-02-24
s,Bett,-,-en,-,Cama,-,0/0 11-02-24,1/2 11-02-24
s,Bild,-,-er,-,Cuadro,-,0/0 11-02-24,0/0 11-02-24
r,Bleistift,-,-e,-,Lápiz,-,0/0 11-02-24,0/0 11-02-24
s,Bücherregal,-,-e,-,Librero,-,0/0 11-02-24,1/4 11-02-24
s,Dach,-,⸚er,-,Techo,-,0/0 11-02-24,0/0 11-02-24
r,Elektroherd,-,-e,-,Estufa eléctrica,-,0/0 11-02-24,0/0 11-02-24
s,Esszimmer,-,-,-,Comedor,privado,0/0 11-02-24,0/0 11-02-24
e,Kantine,-,-n,-,Cafetería/Comedor,colectivo,0/0 11-02-24,0/0 11-02-24
s,Fenster,-,-,-,Ventana,-,0/0 11-02-24,0/0 11-02-24
r,Fernsehapparat,-,-e,-,Televisor,-,1/1 14-02-25,1/1 14-02-25
r,Fernseher,-,-,-,Televisor,-,0/0 11-02-24,0/0 11-02-24
s,Foto,-,-s,-,Foto,-,0/0 11-02-24,1/1 11-02-24
e,Frisierkommode,-,-n,-,Tocador,-,0/0 11-02-24,0/0 11-02-24
e,Garage,-,-n,-,Cochera,-,0/0 11-02-24,2/4 11-02-24
s,Geschirr,-,-e,-,Vajilla,-,0/0 11-02-24,2/3 14-02-25
r,Geschirrspüler,-,-,-,Lavaplatos,-,1/1 13-02-25,0/0 11-02-24
e,Spülmaschine,-,-n,-,Lavaplatos,-,1/1 14-02-25,0/0 11-02-24
e,Glühbirne,-,-n,-,Foco,-,1/2 11-02-24,0/0 11-02-24
s,Handy,-,-s,-,Celular,-,0/0 11-02-24,1/1 14-02-25
s,Haus,-,⸚er,-,Casa,-,0/0 11-02-24,0/0 11-02-24
r,Herd,-,-e,-,Estufa,-,0/0 11-02-24,0/0 11-02-24
s,Hobby,-,-s,-,Pasatiempo,-,0/0 11-02-24,0/0 11-02-24
e,Kamera,-,-s,-,Cámara,-,0/0 11-02-24,0/0 11-02-24
r,Fotoapparat,-,-e,-,Cámara,-,0/0 11-02-24,0/0 11-02-24
r,Kamin,-,-e,-,Chimenea,-,0/0 11-02-24,0/0 11-02-24
s,Kind,-,-er,-,Niño,-,0/0 11-02-24,0/0 11-02-24
r,Kleiderschrank,-,⸚e,-,Armario,-,0/0 11-02-24,0/0 11-02-24
s,Kochfeld,-,-er,-,Estufa,placa,1/2 15-02-25,1/2 14-02-25
s,Kopfkissen,-,-,-,Almohada,-,0/0 11-02-24,1/2 11-02-24
s,Kissen,-,-,-,Cojín,-,0/0 11-02-24,0/0 11-02-24
e,Küche,-,-n,-,Cocina,-,1/1 11-02-24,1/2 11-02-24
r,Kugelschreiber,-,-,-,Pluma,-,0/0 11-02-24,1/2 15-02-25
r,Kühlschrank,-,⸚e,-,Refrigerador,-,0/0 11-02-24,0/0 11-02-24
e,Lampe,-,-n,-,Lámpara,-,0/0 11-02-24,0/0 11-02-24
s,Licht,-,-er,-,Luz,-,1/2 11-02-24,1/1 14-02-25
s,Land,-,⸚er,-,País,-,0/0 11-02-24,0/0 11-02-24
s,Mädchen,-,-,-,Niña,-,0/0 11-02-24,0/0 11-02-24
e,Matratze,-,-n,-,Colchón,-,0/0 11-02-24,0/0 11-02-24
e,Mikrowelle,-,-n,-,Microondas,-,0/0 11-02-24,1/2 13-02-25
e,Mine,-,-n,-,Puntilla,-,0/0 11-02-24,1/2 11-02-24
r,Name,-,-n,-,Nombre,-,0/0 11-02-24,1/2 11-02-24
s,Radio,-,-s,-,Radio,-,0/0 11-02-24,0/0 11-02-24
