Adjektiv,Komparativ,Superlativ,Übersetzung,Beschreibung
änlich,änlicher,am änlichsten,parecido,-
angenehm,angenehmer,am angenehmsten,agradable,-
arm,ärmer,am ärmsten,pobre,-
blau,blauer,am blausten,azul,-
blond,blonder,am blondsten,rubio,-
braun,brauner,am braunsten,cafe,-
gefährlich,gefährlicher,am gefährlichsten,peligroso,-
gelb,gelber,am gelbsten,amarillo,-
gemütlich,gemütlicher,am gemütlichsten,acogedor,-
genau,genauer,am genauesten,exacto,-
gleich,gleicher,am gleichsten,igual,-
grau,grauer,am grausten,gris,-
konservativ,konservativer,am konservativsten,conservador,-
lang,länger,am längsten,largo,-
langweilig,langweiliger,am langweiligsten,aburrido,-
nervös,nervöser,am nervösesten,nervioso,-
offen,offener,am offensten,abierto,actitud abierta
geöffnet,geöffneter,am geöffnetsten,abierto,físicamente abierto
selten,seltener,am seltensten,raro,poco común
komisch,komischer,am komischsten,raro,extraño o cómico
sportlich,sportlicher,am sportlichsten,deportivo,-
sympathisch,sympathischer,am sympathischsten,simpático,-
nett,netter,am nettesten,simpático,-
traurig,trauriger,am traurigsten,triste,-
treu,treuer,am treuesten,fiel,-
verrückt,verrückter,am verrücktesten,loco,-
dünn,dünner,am dünnsten,delgado,connotación negativa
schlank,schlanker,am schlanksten,delgado,connotación positiva
ehrlich,ehrlicher,am ehrlichsten,sincero,-
elegant,eleganter,am elegantesten,elegante,-
freundlich,freundlicher,am freundlichsten,amable,-
interessant,interessanter,am interessantesten,interesante,-
jung,jünger,am jüngsten,joven,-
klug,klüger,am klügsten,inteligente,-
intelligent,intelligenter,am intelligentesten,inteligente,-
pünktlich,pünktlicher,am pünktlichsten,puntual,-
ruhig,ruhiger,am ruhigsten,tranquilo,-
still,stiller,am stillsten,tranquilo,-
rund,runder,am rundesten,redondo,-
voll,voller,am vollsten,lleno,-
weich,weicher,am weichsten,suave,-
wunderbar,wunderbarer,am wunderbarsten,maravilloso,-
herrlich,herrlicher,am herrlichsten,maravilloso,-
dumm,dümmer,am dümmsten,tonto,-
doof,doofer,am doofsten,tonto,-
attraktiv,attraktiver,am attraktivsten,atractivo,-
fleißig,fleißiger,am fleißigsten,trabajador,-
faul,fauler,am faulsten,vago,-
eigen,eigener,am eigensten,propio,-
geliebt,geliebter,am geliebtesten,amado,-
zuverlässig,zuverlässiger,am zuverlässigsten,confiable,-
hübsch,hübscher,am hübschesten,bonito,apariencia
schön,schöner,am schönsten,bonito,general
wütend,wütender,am wütendsten,furioso,-
zornig,zorniger,am zornigsten,furioso,-
fest,fester,am festesten,firme,-
bequem,bequemer,am bequemsten,cómodo,-
unbequem,unbequemer,am unbequemsten,incomodo,-
schmutzig,schmutziger,am schmutzigsten,sucio,-
frisch,frischer,am frischesten,fresco,-
kühl,kühler,am kühlsten,fresco,frío moderado
weiß,weißer,am weißesten,blanco,-
grün,grüner,am grünsten,verde,-
schnell,schneller,am schnellsten,rápido,-
langsam,langsamer,am langsamsten,lento,-
schwach,schwächer,am schwächsten,débil,-
heiß,heißer,am heißesten,caliente,-
neu,neuer,am neuesten,nuevo,-
kalt,kälter,am kältesten,frío,-
spitz,spitzer,am spitzesten,puntiagudo,-
lustig,lustiger,am lustigsten,divertido,-
teuer,teurer,am teuersten,caro,-
billig,billiger,am billigsten,barato,-
dunkel,dunkler,am dunkelsten,oscuro,-
hell,heller,am hellsten,claro,brillante
deutlich,deutlicher,am deutlichsten,claro,comprensible
eindeutig,eindeutiger,am eindeutigsten,claro,comprensible
gut,besser,am besten,bueno,-
gern,lieber,am liebsten,con gusto,-
schlecht,schlechter,am schlechtesten,malo,-
viel,mehr,am meisten,mucho,-
wenig,weniger,am wenigsten,poco,-
allmählich,allmählicher,am allmählichsten,poco a poco,-
hoch,höher,am höchsten,alto,-
tief,tiefer,am tiefsten,profundo,-
nah,näher,am nächsten,cerca,-
weit,weiter,am weitesten,lejos,-
groß,größer,am größten,grande,-
klein,kleiner,am kleinsten,pequeño,-
laut,lauter,am lautesten,ruidoso,-
stark,stärker,am stärksten,fuerte,-
gesund,gesünder,am gesündesten,sano,-
krank,kränker,am kränksten,enfermo,-
blass,blasser,am blassesten,pálido,-
glatt,glatter,am glattesten,liso,-
eben,ebener,am ebensten,liso,plano
rau,rauer,am rauhesten,áspero,-
nass,nasser,am nassesten,mojado,-
trocken,trockener,am trockensten,seco,-
schmal,schmaler,am schmalsten,estrecho,-
eng,enger,am engsten,ajustado/limitado,-
breit,breiter,am breitesten,ancho,-
fromm,frömmer,am frömmsten,devoto,-
rot,röter,am rötesten,rojo,-
krumm,krummer,am krumsten,torcido,-
alt,älter,am ältesten,viejo,-
leicht,leichter,am leichtesten,fácil/ligero,-
schwer,schwerer,am schwersten,difícil/pesado,-
schwierig,schwieriger,am schwierigsten,difícil,-
niedrig,niedriger,am niedrigsten,bajo,-
dick,dicker,am dicksten,gordo/grueso,-
schwarz,schwärzer,am schwärzesten,negro,-
hässlich,hässlicher,am hässlichsten,feo,-
anstrengend,anstrengender,am anstrengendsten,exigente,-
dringend,dringender,am dringendsten,urgente,-
sauber,sauberer,am saubersten,limpio,-
arbeitslos,arbeitsloser,am arbeitslosesten,desempleado,-
geehert,geehrter,am geehrtesten,honrado,-
selbständig,selbständiger,am selbständigsten,independiente,-
ausgezeichnet,ausgezeichneter,am ausgezeichnetsten,excelente,-
bekannt,bekannter,am bekanntesten,famoso,-
