Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung
r,Abfalleimer,-,-,-,Bote de basura,-
-,Arzt,Ärztin,⸚e,-nen,Doctor(a),-
r,Aufzug,-,⸚e,-,Elevador,-
-,Ausländer,Ausländerin,-,-nen,Extranjero(a),persona
s,Auto,-,-s,-,Coche,-
-,Freund,Freundin,-e,-nen,Amigo(a),-
s,Baby,-,-s,-,Bebé,-
e,Badewanne,-,-n,-,Bañera,-
s,Badezimmer,-,-,-,Baño,-
s,Bad,-,⸚er,-,Baño,-
s,Klo,-,-s,-,Inodoro,-
-,Mieter,Mieterin,-,-nen,Inquilino(a),-
r,Balkon,-,-e,-,Balcón,-
e,Batterie,-,-n,-,Batería,-
s,Becken,-,-,-,Lavabo,hoyo
r,Beruf,-,-e,-,Profesión,-
s,Bett,-,-en,-,Cama,-
s,Bild,-,-er,-,Cuadro,-
r,Bleistift,-,-e,-,Lápiz,-
s,Bücherregal,-,-e,-,Librero,-
s,Dach,-,⸚er,-,Techo,-
r,Elektroherd,-,-e,-,Estufa eléctrica,-
s,Esszimmer,-,-,-,Comedor,privado
e,Kantine,-,-n,-,Cafetería/Comedor,colectivo
s,Fenster,-,-,-,Ventana,-
r,Fernsehapparat,-,-e,-,Televisor,-
r,Fernseher,-,-,-,Televisor,-
s,Foto,-,-s,-,Foto,-
e,Frisierkommode,-,-n,-,Tocador,-
e,Garage,-,-n,-,Cochera,-
s,Geschirr,-,-e,-,Vajilla,-
r,Geschirrspüler,-,-,-,Lavaplatos,-
e,Spülmaschine,-,-n,-,Lavaplatos,-
e,Glühbirne,-,-n,-,Foco,-
s,Handy,-,-s,-,Celular,-
s,Haus,-,⸚er,-,Casa,-
r,Herd,-,-e,-,Estufa,-
s,Hobby,-,-s,-,Pasatiempo,-
e,Kamera,-,-s,-,Cámara,-
r,Fotoapparat,-,-e,-,Cámara,-
r,Kamin,-,-e,-,Chimenea,-
s,Kind,-,-er,-,Niño,-
r,Kleiderschrank,-,⸚e,-,Armario,-
s,Kochfeld,-,-er,-,Estufa,placa
s,Kopfkissen,-,-,-,Almohada,-
s,Kissen,-,-,-,Cojín,-
e,Küche,-,-n,-,Cocina,-
r,Kugelschreiber,-,-,-,Pluma,-
r,Kühlschrank,-,⸚e,-,Refrigerador,-
e,Lampe,-,-n,-,Lámpara,-
s,Licht,-,-er,-,Luz,-
s,Land,-,⸚er,-,País,-
s,Mädchen,-,-,-,Niña,-
e,Matratze,-,-n,-,Colchón,-
e,Mikrowelle,-,-n,-,Microondas,-
e,Mine,-,-n,-,Puntilla,-
r,Name,-,-n,-,Nombre,-
s,Radio,-,-s,-,Radio,-
e,Wiese,-,-n,-,Prado,-
e,Erde,-,-n,-,Tierra,-
s,Regal,-,-e,-,Repisa,abierta
s,Schlafzimmer,-,-,-,Recámara,-
s,Schwimmbad,-,⸚er,-,Alberca,-
r,Schrank,-,⸚e,-,Estante,cerrado
r,Sessel,-,-,-,Sillón,-
s,Sofa,-,-s,-,Sofá,-
s,Bettsofa,-,-s,-,Sofá cama,-
r,Spiegel,-,-,-,Espejo,-
e,Spüle,-,-n,-,Fregadero,-
e,Steckdose,-,-n,-,Enchufe,-
r,Stecker,-,-,-,Clavija,-
r,Stuhl,-,⸚e,-,Silla,-
r,Kinderstuhl,-,⸚e,-,Silla de niño,-
r,Taschenrechner,-,-,-,Calculadora,-
s,Telefon,-,-e,-,Teléfono,-
r,Teppich,-,-e,-,Alfombra,-
e,Terrasse,-,-n,-,Terraza,-
r,Tisch,-,-e,-,Mesa,-
e,Toilette,-,-n,-,Inodoro,-
r,Topf,-,⸚e,-,Olla,-
e,Treppe,-,-n,-,Escalera,fija
e,Leiter,-,-n,-,Escalera,portátil
e,Tür,-,-en,-,Puerta,-
s,Tor,-,-e,-,Puerta/Gol,-
e,Uhr,-,-en,-,Reloj,-
r,Vorhang,-,⸚e,-,Cortina,-
e,Wand,-,⸚e,-,Pared,-
s,Waschbecken,-,-,-,Lavabo,completo
e,Waschmaschine,-,-n,-,Lavadora,-
r,Wasserhahn,-,⸚e,-,Llave de agua,-
r,Wecker,-,-,-,Despertador,-
r,Wolf,-,⸚e,-,Lobo,-
s,Wohnzimmer,-,-,-,Sala,-
e,Zahl,-,-en,-,Número,general
e,Nummer,-,-n,-,Número,-
e,Kirsche,-,-n,-,Cereza,-
r,Pfirsich,-,-e,-,Durazno,-
r,Apfel,-,⸚,-,Manzana,-
e,Brombeere,-,-n,-,Zarzamora,-
e,Erdbeere,-,-n,-,Fresa,-
e,Birne,-,-n,-,Pera,-
e,Orange,-,-n,-,Naranja,-
e,Feige,-,-n,-,Higo,-
e,Ananas,-,-se,-,Piña,-
e,Zuckermelone,-,-n,-,Melón,-
e,Wassermelone,-,-n,-,Sandía,-
e,Traube,-,-n,-,Uva,-
e,Weintraube,-,-n,-,Uva,-
e,Banane,-,-n,-,Plátano,-
e,Plantainbanane,-,-n,-,Plátano macho,-
e,Zitrone,-,-n,-,Limón,-
e,Pflaume,-,-n,-,Ciruela,-
e,Tomate,-,-n,-,Tomate,-
e,Kartoffel,-,-n,-,Papa,-
e,Karotte,-,-n,-,Zanahoria,-
e,Zwiebel,-,-n,-,Cebolla,-
e,Gurke,-,-n,-,Pepino,-
e,Paprika,-,-s,-,Chile,-
r,Jalapeño-Chili,-,-s,-,Chile jalapeño,-
e,Bohne,-,-n,-,Frijol,-
e,Kokosnuss,-,⸚e,-,Coco,-
r,Granatapfel,-,⸚,-,Granada,-
e,Mango,-,-s,-,Mango,-
e,Papaya,-,-s,-,Papaya,-
e,Grapefruit,-,-s,-,Toronja,-
e,Auberine,-,-n,-,Berenjena,-
r,Kürbis,-,-se,-,Calabaza,-
e,Tomatillo,-,-s,-,Tomatillo,-
s,Radieschen,-,-,-,Rábano,-
e,Avocado,-,-s,-,Aguacate,-
r,Sellerie,-,-,-,Apio,-
e,Chayote,-,-n,-,Chayote,-
e,Olive,-,-n,-,Aceituna,-
r,Friséesalat,-,-e,-,Lechuga francesa,-
e,Frühlingszwiebel,-,-n,-,Cebollín,-
r,Koblauch,-,-,-,Ajo,-
r,Knopfsalat,-,-e,-,Lechuga orejona,-
r,Spargel,-,-,-,Espárrago,-
e,Zucchini,-,-s,-,Calabacita,-
e,Zuckerschote,-,-n,-,Ejote,-
s,Ei,-,-er,-,Huevo,-
s,Hähnchen,-,-,-,Pollo,-
s,Taxi,-,-s,-,Taxi,-
-,Frisör,Frisöse,-e,-n,Peluquero(a),-
r,Hamburger,-,-,-,Hamburguesa,-
r,Kuchen,-,-,-,Pastel,-
s,Eis,-,-,-,Helado,-
e,Pizza,-,-s,-,Pizza,-
s,Bier,-,-e,-,Cerveza,-
s,Wasser,-,-,-,Agua,-
s,Mineralwasser,-,-,-,Agua mineral,-
s,Brot,-,-e,-,Pan,-
s,Marmeladebrot,-,-e,-,Pan con mermelada,-
s,Schwarzbrot,-,-e,-,Pan negro,-
s,Fleisch,-,-,-,Carne,-
s,Gemüse,-,-,-,Verdura,-
s,Obst,-,-,-,Fruta,-
s,Getränk,-,-e,-,Bebida,-
s,Essen,-,-,-,Comida,-
s,Mittagessen,-,-,-,Almuerzo,-
s,Frühstück,-,-e,-,Desayuno,-
s,Abendessen,-,-,-,Cena,-
s,Cola,-,-s,-,Refresco,-
r,Wein,-,-e,-,Vino,-
r,Rotwein,-,-e,-,Vino tinto,-
r,Saft,-,⸚e,-,Jugo,-
r,Orangensaft,-,-e,-,Jugo de naranja,-
r,Käse,-,-,-,Queso,-
r,Fisch,-,-e,-,Pescado,-
e,Jacke,-,-n,-,Chamarra,-
e,Suppe,-,-n,-,Sopa,-
e,Rindfleischsuppe,-,-n,-,Sopa de carne de vaca,-
e,Zwiebelsuppe,-,-n,-,Sopa de cebolla,-
r,Salat,-,-e,-,Ensalada,-
r,Kartoffelsalat,-,-e,-,Ensalada de papas,-
r,Obstsalat,-,-e,-,Ensalada de frutas,-
e,Wurst,-,⸚e,-,Salchicha,-
e,Bratwurst,-,⸚e,-,Salchicha frita,-
r,Reis,-,-e,-,Arroz,-
e,Nudel,-,-n,-,Pasta,-
e,Zahnpasta,-,-pasten,-,Pasta de dientes,-
r,Keks,-,-e,-,Galleta,-
r,Kaffee,-,-s,-,Café,-
r,Tee,-,-s,-,Té,-
r,Kakao,-,-s,-,Chocolate,semilla
e,Schokolade,-,-n,-,Chocolate,dulce
e,Milch,-,-en,-,Leche,-
r,Zucker,-,-,-,Azúcar,-
r,Honig,-,-,-,Miel,-
r,Pfeffer,-,-,-,Pimienta,-
r,Salz,-,-,-,Sal,-
e,Butter,-,-n,-,Mantequilla,-
r,Mantel,-,-,-,Abrigo,-
r,Hut,-,⸚e,-,Sombrero,-
r,Rock,-,⸚e,-,Falda,-
r,Schinken,-,-,-,Jamón,-
r,Speck,-,-,-,Tocino,-
r,Ketchup,-,-,-,Catsup,-
e,Bluse,-,-n,-,Blusa,-
r,Senf,-,-,-,Mostaza,-
r,Essig,-,-e,-,Vinagre,-
r,Öl,-,-e,-,Aceite,-
e,Soße,-,-n,-,Salsa,-
s,Fitnessstudio,-,-s,-,Gimnasio,-
e,Daten,-,-,-,Datos,-
e,Massageliege,-,-n,-,Camilla de masaje,-
e,Massage,-,-n,-,Masaje,-
e,Bank,-,⸚e,-,Banco,-
e,Sitzbank,-,⸚e,-,Banca,-
r,Monitor,-,-e,-,Monitor,-
r,Computer,-,-,-,Computadora,-
r,Schreibtisch,-,-e,-,Escritorio,-
e,Essensbar,-,-s,-,Barra de comida,-
s,Toilettenbecken,-,-,-,Taza de baño,-
e,Gießkanne,-,-n,-,Regadera,-
e,Klasse,-,-n,-,Clase,grupo de alumnos
r,Unterricht,-,-e,-,Clase,lección
r,Schweinebraten,-,-,-,Lomo de cerdo,-
r,Käsekuchen,-,-,-,Pastel de queso,-
s,Rindersteak,-,-s,-,Filete de res,-
r,Früchtebecher,-,-,-,Frutero,-
s,Hauptgericht,-,-e,-,Plato principal,-
e,Fischplatte,-,-n,-,Plato de pescado,-
r,Nachtisch,-,-,-,Postre,-
s,Kotelett,-,-s,-,Chuleta,-
e,Kleidung,-,-en,-,Ropa,general
e,Kleider,-,-,-,Ropa,formal
e,Wäsche,-,-,-,Ropa sucia,-
e,Bettwäsche,-,-,-,Ropa de cama,-
s,Kleid,-,-er,-,Vestido,-
r,Text,-,-e,-,Texto,-
e,Hose,-,-n,-,Pantalón,-
r,Strumpf,_,⸚e,-,Calceta/Media,-
r,Ofen,-,⸚,-,Horno,-
s,Buch,-,⸚er,-,Libro,-
r,Baum,-,⸚e,-,Árbol,-
s,Spielzeug,-,-e,-,Juguete,-
s,Möbel,-,-,-,Mueble,-
r,Blumentopf,-,-töpfe,-,Maceta,-
e,Schublade,-,-n,-,Cajón,-
e,Schere,-,-n,-,Tijeras,singular
e,Blume,-,-n,-,Flor,-
r,Rucksack,-,-säcke,-,Mochila,-
e,Kommode,-,-n,-,Cómoda,-
s,Heft,-,-e,-,Cuaderno,-
s,Flugzeug,-,-e,-,Avión,-
s,Lineal,-,-e,-,Regla,instrumento
e,Regel,-,-n,-,Regla,norma
e,Puppe,-,-n,-,Muñeca,-
e,Garderobe,-,-n,-,Guardarropa,-
r,Flur,-,-e,-,Pasillo,-
s,Mittel,-,-,-,Medio,-
e,Umwelt,-,-,-,Medio ambiente,-
r,Hof,-,⸚e,-,Patio,-
e,Pflanze,-,-n,-,Planta,-
r,Stock,-,⸚e,-,Piso/Planta,-
s,Erdgeschoss,-,-e,-,Planta baja,-
r,Keller,-,-,-,Sótano,-
r,Dachboden,-,⸚,-,Ático,-
r,Garten,-,⸚,-,Jardín,-
r,Kindergarten,-,⸚,-,Jardín de niños,-
r,Raum,-,⸚e,-,Habitación,-
r,Boden,-,⸚,-,Suelo,-
e,Heizung,-,-en,-,Calefacción,-
e,Sauna,-,-Saunen,-,Sauna,-
r,Gast,-,⸚e,-,Invitado,-
r,Gasthof,-,⸚e,-,Posada/Casa de huéspedes,-
s,Stadthaus,-,⸚er,-,Casa de la ciudad,-
s,Hotel,-,-s,-,Hotel,-
s,Garagendach,-,⸚er,-,Techo del garaje,-
e,Stadt,-,⸚e,-,Ciudad,-
e,Kirche,-,-n,-,Iglesia,-
s,Schloss,-,⸚er,-,Castillo,-
s,Rathaus,-,⸚er,-,Ayuntamiento,-
s,Museum,-,Museen,-,Museo,-
s,Theater,-,-,-,Teatro,-
s,Kino,-,-s,-,Cine,-
s,Café,-,-s,-,Cafetería,-
s,Restaurant,-,-s,-,Restaurante,-
s,Geschäft,-,-e,-,Tienda/Negocio,-
r,Laden,-,⸚,-,Tienda/Negocio,-
s,Kaufhaus,-,⸚er,-,Tienda departamental,-
s,Zelt,-,-e,-,Tienda de campaña,-
s,Krankenhaus,-,⸚er,-,Hospital,-
s,Schwimmbad,-,⸚er,-,Piscina,-
s,Stadion,-,Stadien,-,Estadio,-
s,Stadttor,-,-e,-,Puerta de la ciudad,-
r,Strand,-,⸚e,-,Playa,-
r,See,-,-n,-,Lago,-
r,Fluss,-,⸚e,-,Río,-
r,Berg,-,-e,-,Montaña,-
r,Wald,-,⸚er,-,Bosque,-
r,Hafen,-,⸚,-,Puerto,-
r,Hügel,-,-,-,Colina,-
r,Park,-,-s,-,Parque,-
r,Platz,-,⸚e,-,Plaza,-
r,Krippenplatz,-,⸚e,-,Plaza en guardería,-
r,Bahnhof,-,⸚e,-,Estación de tren,-
r,Busbahnhof,-,⸚e,-,Estación de autobuses,-
r,Flughafen,-,⸚,-,Aeropuerto,-
e,Bushaltestelle,-,-n,-,Parada de autobús,-
e,Haltestelle,-,-n,-,Parada,-
e,U-Bahn,-,-en,-,Metro,transporte
r,Meter,-,-,-,Metro,medida
e,Straßenbahn,-,-en,-,Tranvía,-
e,Ampel,-,-n,-,Semáforo,-
e,Kreuzung,-,-en,-,Cruce,-
e,Brücke,-,-n,-,Puente,-
e,Straße,-,-n,-,Calle,-
e,Autobahn,-,-en,-,Autopista,-
e,Landstraße,-,-n,-,Carretera,-
e,Gasse,-,-n,-,Callejón,-
e,Allee,-,-n,-,Avenida,-
e,Ecke,-,-n,-,Esquina,-
e,Kurve,-,-n,-,Curva,-
e,Adresse,-,-n,-,Dirección,ubicación
e,Richtung,-,-en,-,Dirección,sentido
e,Entfernung,-,-en,-,Distancia,-
r,Urlaub,-,-e,-,Vacaciones,-
e,Reise,-,-n,-,Viaje,viaje largo
e,Fahrt,-,-en,-,Viaje,trayecto
e,Weltreise,-,-n,-,Viaje mundial,-
s,Reisebüro,-,-s,-,Agencia de viajes,-
e,Industrie,-,-n,-,Industria,-
e,Fabrik,-,-en,-,Fábrica,-
e,Natur,-,-,-,Naturaleza,-
e,Luft,-,-,-,Aire,-
s,Meer,-,-e,-,Mar,-
e,Sonne,-,-n,-,Sol,-
r,Kopf,-,⸚e,-,Cabeza,-
s,Gesicht,-,-er,-,Cara,-
s,Auge,-,-n,-,Ojo,-
e,Nase,-,-n,-,Nariz,-
r,Mund,-,⸚er,-,Boca,-
r,Biss,-,⸚e,-,Mordida,-
r,Zahn,-,⸚e,-,Diente,-
e,Zunge,-,-n,-,Lengua,-
e,Lippe,-,-n,-,Labio,-
s,Haar,-,-e,-,Pelo,-
s,Ohr,-,-en,-,Oreja,-
r,Hals,-,⸚e,-,Cuello,-
e,Schulter,-,-n,-,Hombro,-
r,Arm,-,-e,-,Brazo,-
e,Hand,-,⸚e,-,Mano,-
r,Finger,-,-,-,Dedo,mano
r,Zeh,-,-en,-,Dedo,pie
e,Brust,-,⸚e,-,Pecho,-
r,Bauch,-,⸚e,-,Vientre,-
r,Rücken,-,-,-,Espalda,-
r,Po,-,-s,-,Trasero,-
s,Bein,-,-e,-,Pierna,-
s,Knie,-,-,-,Rodilla,-
r,Fuß,-,⸚e,-,Pie,-
r,Körper,-,-,-,Cuerpo,-
r,Knochen,-,-,-,Hueso,-
r,Muskel,-,-n,-,Músculo,-
e,Musik,-,-en,-,Música,-
r,Magen,-,⸚,-,Estómago,-
r,Darm,-,-e,-,Intestino,-
r,Fehler,-,-,-,Error,general
s,Versehen,-,-,-,Error,accidental
r,Test,-,-s,-,Prueba,-
r,Filzstift,-,-e,-,Rotulador,-
s,Märchen,-,-,-,Cuento de hadas,-
s,Rad,-,⸚er,-,Rueda,-
r,Regenschirm,-,-e,-,Paraguas,-
r,Schirm,-,-e,-,Paraguas,-
e,Grippe,-,-n,-,Gripe,-
r,Schnupfen,-,-,-,Con catarro,-
e,Erkältung,-,-en,-,Resfriado,-
r,Husten,-,-,-,Tos,-
r,Schmerz,-,-en,-,Dolor,-
s,Fieber,-,-,-,Fiebre,-
s,Gespräch,-,-e,-,Conversación,-
s,Problem,-,-e,-,Problema,-
r,Tropfen,-,-,-,Gota,-
s,Medikament,-,-e,-,Medicamento,-
r,Brief,-,-e,-,Carta,-
r,Rat,-,⸚e,-,Consejo,-
r,Betriebsrat,-,⸚e,-,Consejo de empresa,-
e,Diät,-,-en,-,Dieta,-
s,Blut,-,-,-,Sangre,-
r,Alkohol,-,-e,-,Alcohol,-
s,Wort,-,⸚er/e,-,Palabra,-
r,Satz,-,⸚e,-,Oración,-
r,Buchstabe,-,-n,-,Letra,-
r,Druckbuchstabe,-,-n,-,Letra de imprenta,-
r,Artikel,-,-,-,Artículo,-
r,Kasten,-,⸚,-,Caja,grande
e,Schachtel,-,-n,-,Caja,pequeña
e,Kasse,-,-n,-,Caja,caja registradora
e,Sahne,-,-,-,Crema,-
s,Gewürz,-,-e,-,Especia,-
s,Mehl,-,-,-,Harina,-
s,1,-,-e,-,Libra,-
r,Schnaps,-,⸚e,-,Licor,-
r,Zettel,-,-,-,Nota/Ticket,-
s,Steak,-,-s,-,Filete,-
r,Braten,-,-,-,Asado,-
s,Konzert,-,-e,-,Concierto,-
e,Aufgabe,-,-n,-,Tarea,general
e,Hausarbeit,-,-en,-,Tarea,tarea de casa
e,Hausaufgabe,-,-n,-,Tarea,tarea escolar
r,Beutel,-,-,-,Bolsa,bolsa de plástico
e,Tasche,-,-n,-,Bolsa,bolso o cartera
e,Packung,-,-en,-,Paquete,envoltura
s,Paket,-,-e,-,Paquete,grande
s,Päckchen,-,-,-,Paquete,pequeño
e,Tafel,-,-n,-,Tableta/Placa,-
r,Becher,-,-,-,Vaso/Copa,sin asa
s,Glas,-,⸚er,-,Vaso/Copa/Cristal,de vidrio
s,Netz,-,-e,-,Red,-
s,Pfand,-,⸚er,-,Depósito/Garantía,-
r,Kohl,-,-,-,Col,-
r,Rosenkohl,-,-,-,Col de Bruselas,-
e,Dose,-,-n,-,Lata,-
r,Apparat,-,-e,-,Aparato,-
e,Familie,-,-n,-,Familia,-
e,Keule,-,-n,-,Porra,-
s,Fell,-,-e,-,Piel,-
r,Dialog,-,-e,-,Diálogo,-
e,Übung,-,-en,-,Ejercicio,-
e,Tabelle,-,-n,-,Tabla,-
e,Seite,-,-n,-,Página,-
e,Kirmes,-,-sen,-,Feria,-
r,Januar,-,e,-,Enero,-
r,Februar,-,-e,-,Febrero,-
r,März,-,-e,-,Marzo,-
r,April,-,-e,-,Abril,-
r,Mai,-,-e,-,Mayo,-
r,Juni,-,s,-,Junio,-
r,Juli,-,-s,-,Julio,-
r,August,-,-e,-,Agosto,-
r,September,-,-,-,Septiembre,-
r,Oktober,-,-,-,Octubre,-
r,November,-,-,-,Noviembre,-
r,Dezember,-,-,-,Diciembre,-
r,Montag,-,-e,-,Lunes,-
r,Dienstag,-,-e,-,Martes,-
r,Mittwoch,-,-e,-,Miércoles,-
r,Donnerstag,-,-e,-,Jueves,-
r,Freitag,-,-e,-,Viernes,-
r,Samstag,-,-e,-,Sábado,-
r,Sonntag,-,-e,-,Domingo,-
r,Frühling,-,-e,-,Primavera,-
r,Sommer,-,-,-,Verano,-
r,Herbst,-,-e,-,Otoño,-
r,Winter,-,-,-,Invierno,-
s,Motorrad,-,-räder,-,Motocicleta,-
r,Bericht,-,-e,-,Informe,-
r,Besuch,-,-e,-,Visita,-
s,Büro,-,-s,-,Oficina,-
s,Arbeitsamt,-,⸚er,-,Oficina de empleo,-
s,Jugendamt,-,-,-,Oficina de juventud,-
e,Prüfung,-,-en,-,Examen,general
s,Examen,-,-,-,Examen,oficial o formal
s,Pech,-,-e,-,Mala suerte,-
s,Glück,-,-,-,Suerte,-
e,Sache,-,-n,-,Cosa,-
e,Rechnung,-,-en,-,Cuenta,-
s,Parkhaus,-,⸚er,-,Estacionamiento,-
e,Diskothek,-,-en,-,Discoteca,-
e,Telefonzelle,-,-n,-,Cabina telefónica,-
r,Koffer,-,-,-,Maleta,-
r,Ausflug,-,⸚e,-,Excursión,-
r,Schuh,-,-e,-,Zapato,-
s,Hemd,-,-en,-,Camisa,-
r,Handschuh,-,-e,-,Guante,-
e,Krawatte,-,-n,-,Corbata,-
r,Pullover,-,-,-,Suéter,-
e,Mütze,-,-n,-,Gorr@,-
r,Fußball,-,-,-,Fútbol,-
r,Fußball,-,⸚e,-,Balón de fútbol,-
r,Film,-,-e,-,Película,-
r,Fernsehfilm,-,-e,-,Película de televisión,-
s,Papier,-,-e,-,Papel,-
e,Bibliothek,-,⸚en,-,Biblioteca,-
e,Bücherei,-,-en,-,Biblioteca,-
e,Werkstatt,-,⸚en,-,Taller,-
e,Post,-,-,-,Correo,-
e,Metzgerei,-,-en,-,Carnicería,-
r,Supermarkt,-,⸚e,-,Supermercado,-
e,Kaution,-,-en,-,Fianza,-
e,Reiningung,-,-en,-,Tintorería,-
e,Apotheke,-,-n,-,Farmacia,-
e,Drogerie,-,-n,-,Tienda de productos de higiene y cosméticos,-
e,Bäckerei,-,-en,-,Panadería,-
e,Buchhandlung,-,-en,-,Librería,-
s,Studium,-,-ien,-,Estudio,académico
s,Studio,-,-s,-,Estudio,local
s,Fotostudio,-,-s,-,Estudio fotográfico,-
e,Spielwiese,-,-n,-,Área de juegos,-
r,Bereich,-,-e,-,Área/Sector,-
e,Universität,-,-en,-,Universidad,-
e,Schule,-,-n,-,Escuela,-
e,Vase,-,-n,-,Jarrón/Florero,-
e,Kassette,-,-n,-,Casete,-
e,Flasche,-,-n,-,Botella,-
e,Zigarette,-,-n,-,Cigarro,-
e,CD,-,-s,-,CD,-
r,Weg,-,-e,-,Camino,-
r,Turm,-,⸚e,-,Torre,-
r,Schlafsack,-,⸚e,-,Saco de dormir,-
s,Schmuckstück,-,-e,-,Joyería,-
s,Feuerzeug,-,-e,-,Encendedor,-
r,Anzünder,-,-,-,Encendedor,-
s,Feuer,-,-,-,Fuego,-
e,Brille,-,-n,-,Lentes,-
r,Anlass,-,-,⸚e,Motivo/Ocasión/Evento,-
e,Hierarchie,-,-n,-,Jerarquía,-
-,König,Königin,-e,-nen,Rey/Reina,-
e,Bewegung,-,-en,-,Movimiento,-
e,Benimm,-,-en,-,Comportamiento,-
-,Vorsitzender,Vorsitzende,-,-n,Presidente(a),de una asociación
-,Präsident,Präsidentin,-en,-nen,Presidente,de un país
r,Abschied,-,-e,-,Despedida,-
r,Polterabend,-,-e,-,Despedida de soltero,-
e,Ansicht,-,-en,-,Opinión,-
e,Meinung,-,-en,-,Opinión,-
e,Zusammenfassung,-,-en,-,Resumen,-
e,Betreuung,-,-,-,Cuidado,-
e,Kinderbetreuung,-,-en,-,Cuidado de niños,-
e,Besprechung,-,-en,-,Reunión,-
e,Rente,-,-n,-,Pensión,económica
e,Pension,-,-en,-,Pensión,alojamiento
-,Angestellter,Angestellte,-,-n,Empleado(a),-
-,Arbeitnehmer,Arbeitnehmerin,-,-nen,Empleado(a),-
r,Anzug,-,⸚e,-,Traje,-
r,Arbeitgeber,-,-,-,Empleador,-
s,Ergebnis,-,-se,-,Resultado,-
e,Farbe,-,-n,-,Color,-
r,Feind,-,-e,-,Enemigo,-
e,Geschichte,-,-n,-,Historia,-
e,Hochzeit,-,-en,-,Boda,-
r,Job,-,-s,-,Trabajo,casual
e,Arbeit,-,-en,-,Trabajo,general o formal
r,Kollege,-,-n,-,Colega,-
e,Leistung,-,-en,-,Rendimiento,-
r,Mann,-,⸚er,-,Hombre,-
r,Morgen,-,-,-,Mañana,-
-,Musiker,Musikerin,-,-nen,Músico(a),-
r,Prozess,-,-e,-,Proceso,-
e,Sorge,-,-n,-,Preocupación,-
e,Stelle,-,-n,-,Puesto,-
s,Vorurteil,-,-e,-,Prejuicio,-
r,Wagen,-,-,-,Carro,-
-,Chef,Chefin,-,-nen,Jefe(a),-
r,Punkt,-,-e,-,Punto,-
r,Rechtsanwalt,-,⸚e,-,Abogado,-
r,Scheidungsanwalt,-,⸚e,-,Abogado de divorcio,-
e,Antwort,-,-en,-,Respuesta,-
e,Anzeige,-,-n,-,Anuncio,-
r,Augenblick,-,-e,-,Momento,-
e,Ausbildung,-,-en,-,Formación,-
-,Beamter,Beamte,-,-n,Funcionario(a),-
r,Betrieb,-,-e,-,Empresa,-
e,Firma,-,-en,-,Empresa,-
s,Gehalt,-,⸚er,-,Salario,-
r,Grund,-,-e,-,Razón,-
e,Grundschule,-,-n,-,Primaria,-
s,Gymnasium,-,-ien,-,Preparatoria,-
e,Hauptsache,-,-n,-,Lo principal,-
r,Import,-,-e,-,Importación,-
r,Monat,-,-e,-,Mes,-
r,Nachteil,-,-e,-,Desventaja,-
r,Vorteil,-,-e,-,Ventaja,-
-,Politiker,Politikerin,-,-nen,Político(a),-
-,Polizist,Polizistin,-,-nen,Policía,-
e,Kriminalpolizei,-,-,-,Departamento de investigación criminal,-
e,Religion,-,-en,-,Religión,-
e,Konfession,-,-en,-,Religión,-
-,Schauspieler,Schauspielerin,-,-nen,Actor(a),-
r,Termin,-,-e,-,Cita,-
-,Verkäufer,Verkäuferin,-,-nen,Vendedor(a),-
r,Vertrag,-,⸚e,-,Contrato,-
e,Wirtschaft,-,-en,-,Economía,-
e,Bewerbung,-,-en,-,Solicitud,-
-,Bundeskanzler,Bundeskanzlerin,-,-nen,Canciller,-
s,Datum,-,-en,-,Fecha,-
s,Geburtsdatum,-,-en,-,Fecha de nacimiento,-
s,Diplom,-,-e,-,Diploma,-
r,Export,-,-e,-,Exportación,-
s,Inland,-,-,-,Interior,-
e,Lehre,-,-n,-,Enseñanza,-
s,Vokabellernen,-,-,-,Aprendizaje de vocabulario,-
-,Maurer,Maurerin,-,-nen,Albañil,-
e,Möglichkeit,-,-en,-,Posibilidad,-
-,Schüler,Schülerin,-,-nen,Estudiante,general
-,Student,Studentin,-,-nen,Estudiante,nivel Superior
e,Sekretärin,-,-nen,-,Secretaria,-
s,Semester,-,-,-,Semestre,-
e,Sicherheit,-,-en,-,Seguridad,-
e,Sprache,-,-n,-,Idioma,-
e,Fremdsprache,-,-n,-,Idioma extranjero,-
-,Zahnarzt,Zahnärztin,-,-nen,Dentista,-
s,Zeugnis,-,-se,-,Certificado,-
e,Eheurkunde,-,-n,-,Certificado de matrimonio,-
e,Teilnahmebestätigung,-,-en,-,Certificado de participación,-
e,Zukunft,-,-en,-,Futuro,-
r,Ausgang,-,⸚e,-,Salida,-
e,Ausreise,-,-,-,Salida,-
r,Bart,-,⸚e,-,Barba,-
